Q_m3s,overflow_length_m,C_bcw,unit_discharge_m2s,head_m
10.000153,10.000321,1.6999989,0.99998323,0.70204138
10.000153,11.428857,1.6999989,0.87499152,0.64224904
10.000153,12.857393,1.6999989,0.77777453,0.59374966
10.000153,14.28593,1.6999989,0.70000016,0.5534771
10.000153,15.714466,1.6999989,0.63636607,0.51940435
10.000153,17.143002,1.6999989,0.58333732,0.49013315
10.000153,18.571539,1.6999989,0.53846659,0.46466512
10.000153,20.000075,1.6999989,0.50000578,0.44226671
10.000153,21.428611,1.6999989,0.46667294,0.4223858
10.000153,22.857148,1.6999989,0.43750661,0.40459823
10.000153,24.285684,1.6999989,0.41177152,0.38857224
10.000153,25.71422,1.6999989,0.38889583,0.37404434
10.000153,27.142757,1.6999989,0.36842806,0.36080236
10.000153,28.571293,1.6999989,0.35000702,0.34867334
10.000153,29.999829,1.6999989,0.33334033,0.33751479
12.857263,10.000321,1.6999989,1.2856851,0.83008768
12.857263,11.428857,1.6999989,1.1249824,0.75938973
12.857263,12.857393,1.6999989,0.99998987,0.70204449
12.857263,14.28593,1.6999989,0.89999485,0.65442656
12.857263,15.714466,1.6999989,0.81818009,0.61413923
12.857263,17.143002,1.6999989,0.75000067,0.57952921
12.857263,18.571539,1.6999989,0.69231007,0.54941604
12.857263,20.000075,1.6999989,0.64286075,0.52293235
12.857263,21.428611,1.6999989,0.6000045,0.49942534
12.857263,22.857148,1.6999989,0.56250515,0.47839346
12.857263,24.285684,1.6999989,0.52941738,0.45944447
12.857263,25.71422,1.6999989,0.50000596,0.44226681
12.857263,27.142757,1.6999989,0.4736904,0.4266096
12.857263,28.571293,1.6999989,0.45000635,0.41226835
12.857263,29.999829,1.6999989,0.42857788,0.39907458
15.714374,10.000321,1.6999989,1.5713869,0.94890556
15.714374,11.428857,1.6999989,1.3749733,0.86808798
15.714374,12.857393,1.6999989,1.2222052,0.8025344
15.714374,14.28593,1.6999989,1.0999895,0.74810049
15.714374,15.714466,1.6999989,0.99999411,0.70204647
15.714374,17.143002,1.6999989,0.91666402,0.66248242
15.714374,18.571539,1.6999989,0.84615355,0.62805887
15.714374,20.000075,1.6999989,0.78571573,0.59778433
15.714374,21.428611,1.6999989,0.73333606,0.57091256
15.714374,22.857148,1.6999989,0.68750369,0.5468702
15.714374,24.285684,1.6999989,0.64706324,0.52520887
15.714374,25.71422,1.6999989,0.61111608,0.50557242
15.714374,27.142757,1.6999989,0.57895275,0.48767405
15.714374,28.571293,1.6999989,0.55000568,0.47128001
15.714374,29.999829,1.6999989,0.52381543,0.4561977
18.571484,10.000321,1.6999989,1.8570888,1.0606921
18.571484,11.428857,1.6999989,1.6249642,0.97035377
18.571484,12.857393,1.6999989,1.4444206,0.89707759
18.571484,14.28593,1.6999989,1.2999842,0.83623106
18.571484,15.714466,1.6999989,1.1818081,0.78475161
18.571484,17.143002,1.6999989,1.0833274,0.74052668
18.571484,18.571539,1.6999989,0.99999703,0.70204784
18.571484,20.000075,1.6999989,0.9285707,0.66820679
18.571484,21.428611,1.6999989,0.86666762,0.63816936
18.571484,22.857148,1.6999989,0.81250224,0.61129467
18.571484,24.285684,1.6999989,0.7647091,0.58708152
18.571484,25.71422,1.6999989,0.7222262,0.56513177
18.571484,27.142757,1.6999989,0.68421509,0.54512487
18.571484,28.571293,1.6999989,0.65000501,0.52679952
18.571484,29.999829,1.6999989,0.61905298,0.50994043
21.428594,10.000321,1.6999989,2.1427906,1.1668653
21.428594,11.428857,1.6999989,1.8749551,1.0674843
21.428594,12.857393,1.6999989,1.6666359,0.98687328
21.428594,14.28593,1.6999989,1.4999789,0.91993613
21.428594,15.714466,1.6999989,1.3636221,0.86330368
21.428594,17.143002,1.6999989,1.2499907,0.81465193
21.428594,18.571539,1.6999989,1.1538405,0.77232144
21.428594,20.000075,1.6999989,1.0714257,0.73509296
21.428594,21.428611,1.6999989,0.99999918,0.70204885
21.428594,22.857148,1.6999989,0.93750078,0.67248406
21.428594,24.285684,1.6999989,0.88235496,0.64584721
21.428594,25.71422,1.6999989,0.83333632,0.62170034
21.428594,27.142757,1.6999989,0.78947743,0.59969079
21.428594,28.571293,1.6999989,0.75000434,0.57953111
21.428594,29.999829,1.6999989,0.71429053,0.56098445
24.285704,10.000321,1.6999989,2.4284925,1.2684073
24.285704,11.428857,1.6999989,2.124946,1.160378
24.285704,12.857393,1.6999989,1.8888513,1.0727522
24.285704,14.28593,1.6999989,1.6999736,0.99999008
24.285704,15.714466,1.6999989,1.5454362,0.93842941
24.285704,17.143002,1.6999989,1.4166541,0.88554392
24.285704,18.571539,1.6999989,1.307684,0.83952978
24.285704,20.000075,1.6999989,1.2142806,0.79906164
24.285704,21.428611,1.6999989,1.1333307,0.76314198
24.285704,22.857148,1.6999989,1.0624993,0.73100443
24.285704,24.285684,1.6999989,1.0000008,0.70204961
24.285704,25.71422,1.6999989,0.94444645,0.67580146
24.285704,27.142757,1.6999989,0.89473978,0.65187661
24.285704,28.571293,1.6999989,0.85000368,0.6299626
24.285704,29.999829,1.6999989,0.80952807,0.609802
27.142814,10.000321,1.6999989,2.7141943,1.3660341
27.142814,11.428857,1.6999989,2.3749369,1.24969
27.142814,12.857393,1.6999989,2.1110666,1.1553197
27.142814,14.28593,1.6999989,1.8999683,1.0769573
27.142814,15.714466,1.6999989,1.7272502,1.0106584
27.142814,17.143002,1.6999989,1.5833174,0.95370243
27.142814,18.571539,1.6999989,1.4615275,0.90414668
27.142814,20.000075,1.6999989,1.3571356,0.86056378
27.142814,21.428611,1.6999989,1.2666623,0.82187947
27.142814,22.857148,1.6999989,1.1874979,0.78726835
27.142814,24.285684,1.6999989,1.1176467,0.75608494
27.142814,25.71422,1.6999989,1.0555566,0.72781652
27.142814,27.142757,1.6999989,1.0000021,0.70205022
27.142814,28.571293,1.6999989,0.95000301,0.67844954
27.142814,29.999829,1.6999989,0.90476562,0.65673721
29.999924,10.000321,1.6999989,2.9998962,1.4602876
29.999924,11.428857,1.6999989,2.6249278,1.335916
29.999924,12.857393,1.6999989,2.333282,1.2350344
29.999924,14.28593,1.6999989,2.099963,1.1512651
29.999924,15.714466,1.6999989,1.9090642,1.0803917
29.999924,17.143002,1.6999989,1.7499808,1.0195059
29.999924,18.571539,1.6999989,1.615371,0.96653091
29.999924,20.000075,1.6999989,1.4999906,0.91994089
29.999924,21.428611,1.6999989,1.3999939,0.87858743
29.999924,22.857148,1.6999989,1.3124964,0.84158822
29.999924,24.285684,1.6999989,1.2352925,0.80825323
29.999924,25.71422,1.6999989,1.1666667,0.77803434
29.999924,27.142757,1.6999989,1.1052645,0.75049022
29.999924,28.571293,1.6999989,1.0500023,0.72526114
29.999924,29.999829,1.6999989,1.0000032,0.70205071
32.857035,10.000321,1.6999989,3.285598,1.5515908
32.857035,11.428857,1.6999989,2.8749186,1.4194429
32.857035,12.857393,1.6999989,2.5554973,1.3122538
32.857035,14.28593,1.6999989,2.2999577,1.2232469
32.857035,15.714466,1.6999989,2.0908782,1.1479423
32.857035,17.143002,1.6999989,1.9166441,1.0832496
32.857035,18.571539,1.6999989,1.7692144,1.0269624
32.857035,20.000075,1.6999989,1.6428456,0.9774594
32.857035,21.428611,1.6999989,1.5333254,0.93352035
32.857035,22.857148,1.6999989,1.437495,0.8942078
32.857035,24.285684,1.6999989,1.3529384,0.85878856
32.857035,25.71422,1.6999989,1.2777768,0.82668026
32.857035,27.142757,1.6999989,1.2105268,0.79741397
32.857035,28.571293,1.6999989,1.1500017,0.77060747
32.857035,29.999829,1.6999989,1.0952407,0.74594582
35.714145,10.000321,1.6999989,3.5712999,1.6402817
35.714145,11.428857,1.6999989,3.1249095,1.5005802
35.714145,12.857393,1.6999989,2.7777127,1.387264
35.714145,14.28593,1.6999989,2.4999524,1.2931693
35.714145,15.714466,1.6999989,2.2726922,1.2135602
35.714145,17.143002,1.6999989,2.0833075,1.1451696
35.714145,18.571539,1.6999989,1.9230579,1.0856649
35.714145,20.000075,1.6999989,1.7857005,1.0333323
35.714145,21.428611,1.6999989,1.666657,0.9868816
35.714145,22.857148,1.6999989,1.5624935,0.94532189
35.714145,24.285684,1.6999989,1.4705843,0.90787804
35.714145,25.71422,1.6999989,1.3888869,0.87393439
35.714145,27.142757,1.6999989,1.3157892,0.8429952
35.714145,28.571293,1.6999989,1.250001,0.8146564
35.714145,29.999829,1.6999989,1.1904783,0.78858506
38.571255,10.000321,1.6999989,3.8570017,1.726636
38.571255,11.428857,1.6999989,3.3749004,1.5795797
38.571255,12.857393,1.6999989,2.999928,1.4602979
38.571255,14.28593,1.6999989,2.6999471,1.3612495
38.571255,15.714466,1.6999989,2.4545062,1.2774493
38.571255,17.143002,1.6999989,2.2499708,1.2054582
38.571255,18.571539,1.6999989,2.0769014,1.1428208
38.571255,20.000075,1.6999989,1.9285555,1.0877331
38.571255,21.428611,1.6999989,1.7999885,1.038837
38.571255,22.857148,1.6999989,1.687492,0.9950893
38.571255,24.285684,1.6999989,1.5882301,0.95567418
38.571255,25.71422,1.6999989,1.4999971,0.91994354
38.571255,27.142757,1.6999989,1.4210515,0.88737552
38.571255,28.571293,1.6999989,1.3500003,0.8575448
38.571255,29.999829,1.6999989,1.2857158,0.83010091
41.428365,10.000321,1.6999989,4.1427036,1.810882
41.428365,11.428857,1.6999989,3.6248913,1.6566505
41.428365,12.857393,1.6999989,3.2221434,1.5315487
41.428365,14.28593,1.6999989,2.8999418,1.4276676
41.428365,15.714466,1.6999989,2.6363202,1.3397785
41.428365,17.143002,1.6999989,2.4166342,1.2642749
41.428365,18.571539,1.6999989,2.2307449,1.1985813
41.428365,20.000075,1.6999989,2.0714105,1.1408057
