scenario_id,family,unit_discharge_m2s,Fr1,forcing_kW_m
SYN50K-09124-999a349b99,F1,0.6651507,8.254508,13.42704
SYN50K-44690-8bd960aa26,F1,1.6470094,6.1417651,35.717943
SYN50K-22422-faca77fc4b,F1,0.65087761,4.8814184,4.8294878
SYN50K-06700-db68df55c2,F1,0.92421845,6.0071571,13.074738
SYN50K-49046-9c239489d2,F1,0.44237058,5.0947519,2.7700688
SYN50K-41966-3e49f8a4cb,F1,0.78824091,5.5036475,8.4655945
SYN50K-38372-7759f560d3,F1,0.93196659,6.5356802,15.530181
SYN50K-30552-ed49e1a50c,F1,1.7879323,8.4359,72.434862
SYN50K-20534-800fc75c23,F1,0.53827724,4.7678284,3.3505781
SYN50K-45716-5ba7d2dde7,F1,0.4904738,8.4133399,8.350747
SYN50K-37314-39f4c481c5,F2,4.5363497,7.2385867,261.44949
SYN50K-07308-809b33eee0,F2,1.7336247,5.1754616,27.856815
SYN50K-20174-d5102d4f01,F2,0.99289496,7.7076785,23.23261
SYN50K-47530-51e9885873,F2,2.2215573,8.7237183,110.16122
SYN50K-42366-4fccb384bd,F2,1.6666672,7.3898311,51.127683
SYN50K-43584-10032bfd79,F2,1.6752647,8.5749256,66.833578
SYN50K-35010-09002dbe4a,F2,4.6774414,5.2421437,149.46754
SYN50K-30314-1f225a49f6,F2,2.5946133,8.6578342,140.8569
SYN50K-00796-7b94f07f20,F2,1.9614192,6.6345577,55.185043
SYN50K-15582-4c36d2f2e6,F2,1.143914,6.6865432,22.790568
SYN50K-25540-eaa4bb23ec,F2,0.72699116,7.3774037,12.788571
SYN50K-46034-5baefa81c9,F2,2.5480401,7.1581073,97.989322
SYN50K-43294-eabdbdc78e,F2,2.1573646,5.4981945,45.24642
SYN50K-10140-34ccfc2100,F2,2.6308416,5.5496726,64.144222
SYN50K-27188-4d52cb72f3,F2,2.0574176,7.1532264,68.523596
SYN50K-28592-fb2d54bbaa,F2,1.1974917,6.7028662,24.707546
SYN50K-09098-b8af18fa7c,F2,2.7394876,6.8665057,102.55569
SYN50K-21262-91859326e3,F2,1.3413233,7.6464228,37.81943
SYN50K-23684-ea67509a74,F2,3.9394475,4.8189819,94.518005
SYN50K-17146-64bf93bfcb,F2,1.870144,5.74062,38.793401
SYN50K-31226-32dd01b90b,F2,1.1084266,6.4913547,20.474655
SYN50K-39748-c453b1b7dc,F2,3.5468008,8.6018042,234.55216
SYN50K-13314-4ae7af626a,F2,2.5292967,8.8776431,140.87503
SYN50K-04086-87cab8c674,F2,1.3896349,6.8976836,33.362341
SYN50K-17380-5c628b2c98,F2,2.0092084,6.7178945,58.775999
SYN50K-07948-f2eb531d7e,F2,1.5435174,5.1294843,22.543466
SYN50K-09708-2a27a687b0,F3,1.3862471,5.774553,23.822339
SYN50K-14520-0a70d8bf96,F3,0.41607915,5.841746,3.2776482
SYN50K-22814-fc76c01467,F3,1.8936044,6.8610531,55.339055
SYN50K-11472-66e83e1cf8,F3,1.0662896,8.2690961,29.573008
SYN50K-24984-40a5de0bec,F3,0.9012542,5.6468233,11.129639
SYN50K-10276-b9448ffb26,F3,3.3503863,8.3206392,201.4871
SYN50K-42310-3df2f48027,F3,0.60158817,6.4588212,7.3252623
SYN50K-17100-f502e8d6c3,F3,1.0437613,6.8370273,20.375601
SYN50K-23030-9e4f116074,F3,1.1860174,6.0232721,19.914733
SYN50K-42496-cb814a5495,F3,0.93258484,7.3133935,19.069542
SYN50K-13598-346fc1ad47,F3,1.8411466,5.6362568,36.472363
SYN50K-34746-b8e369f1c4,F3,0.53994416,8.8849992,10.757022
SYN50K-43302-33e70cdac6,F3,0.62261369,6.258167,7.3132171
