scenario_id,family,structure_height_m,top_width_m,downstream_slope_h_per_v,body_area_m2_per_m,height_local_elasticity
SYN50K-09124-999a349b99,F1,1.4750067,0.9857242,1.7428864,3.3499007,1.5659723
SYN50K-44690-8bd960aa26,F1,1.8703874,0.95487324,1.2324653,3.9417797,1.5469095
SYN50K-22422-faca77fc4b,F1,1.2997923,1.1718926,1.3838762,2.6922186,1.434215
SYN50K-06700-db68df55c2,F1,1.0586911,1.1899431,1.5135467,2.1079941,1.4023787
SYN50K-49046-9c239489d2,F1,1.0849539,0.75047582,0.81052144,1.2912741,1.3694355
SYN50K-41966-3e49f8a4cb,F1,1.522726,1.0018012,1.3103528,3.0446228,1.4989629
SYN50K-38372-7759f560d3,F1,1.8462105,1.184447,1.5773968,4.8750116,1.5514393
SYN50K-30552-ed49e1a50c,F1,2.1467561,1.0484406,1.3961394,5.4678435,1.5883667
SYN50K-20534-800fc75c23,F1,1.2331869,0.97368195,1.6540277,2.4584131,1.5115826
SYN50K-37314-39f4c481c5,F2,2.2137265,0.43431026,1.4196632,4.440034,1.7834602
SYN50K-07308-809b33eee0,F2,1.0929276,1.1435903,0.80326292,1.7296063,1.2773724
SYN50K-20174-d5102d4f01,F2,1.0126313,0.41715651,1.0966796,0.98470551,1.5710131
SYN50K-47530-51e9885873,F2,1.4286954,0.60289712,1.5978502,2.4920986,1.6543651
SYN50K-42366-4fccb384bd,F2,1.3063357,0.48399188,1.2692312,1.7152357,1.6313883
SYN50K-43584-10032bfd79,F2,1.9309618,0.87132649,1.1114675,3.7546146,1.5518853
SYN50K-35010-09002dbe4a,F2,2.252737,0.45191335,1.2658745,4.230087,1.7593331
SYN50K-30314-1f225a49f6,F2,1.1776252,0.86634433,1.7740258,2.2503392,1.5466333
SYN50K-00796-7b94f07f20,F2,1.1076879,0.53772675,1.3577686,1.4286057,1.5830666
SYN50K-15582-4c36d2f2e6,F2,1.4550749,0.85692797,1.1035208,2.4151051,1.4837101
SYN50K-25540-eaa4bb23ec,F2,1.4461847,0.92398364,0.81336355,2.1868056,1.3889484
SYN50K-46034-5baefa81c9,F2,2.0166555,0.44490099,1.0318258,2.9953779,1.7004678
SYN50K-43294-eabdbdc78e,F2,1.0314689,1.0799972,1.9304121,2.1408933,1.4796642
SYN50K-10140-34ccfc2100,F2,1.5604792,0.99408135,1.4124414,3.2709578,1.5257526
SYN50K-27188-4d52cb72f3,F2,2.2480434,0.91964678,0.93178881,4.4218961,1.5324617
SYN50K-28592-fb2d54bbaa,F2,1.6253006,1.0515739,0.68373783,2.6122052,1.3457162
SYN50K-09098-b8af18fa7c,F2,1.8246481,1.187074,1.4523343,4.5836503,1.5274525
SYN50K-21262-91859326e3,F2,1.8881811,0.94422908,0.894004,3.3765394,1.4719814
SYN50K-23684-ea67509a74,F2,1.7799307,0.66136306,0.75123241,2.3671902,1.5027098
SYN50K-17146-64bf93bfcb,F2,1.2540156,0.82587154,1.8436301,2.4852608,1.5832808
SYN50K-31226-32dd01b90b,F2,1.2151582,1.1484571,0.84970564,2.0228988,1.3101202
SYN50K-39748-c453b1b7dc,F2,2.1913006,0.60975497,1.0784339,3.9253674,1.6596098
SYN50K-13314-4ae7af626a,F2,1.5046351,0.98557642,0.55575477,2.1120269,1.2978627
SYN50K-09708-2a27a687b0,F3,3.2349893,0.93865154,1.0701901,8.6363807,1.6484028
SYN50K-14520-0a70d8bf96,F3,3.285641,0.43444761,1.001423,6.8328384,1.7910914
SYN50K-22814-fc76c01467,F3,3.2050793,0.94890807,1.0723006,8.5489476,1.6442456
SYN50K-11472-66e83e1cf8,F3,3.0516715,1.1695324,1.3885197,10.034462,1.6443229
SYN50K-24984-40a5de0bec,F3,2.3078676,0.80113867,1.0652569,4.6858359,1.6054232
SYN50K-10276-b9448ffb26,F3,3.0435503,0.49387215,0.66032601,4.5614901,1.6704751
SYN50K-42310-3df2f48027,F3,2.2863305,0.700487,1.2274502,4.8096742,1.667016
SYN50K-17100-f502e8d6c3,F3,2.7035818,0.46040619,1.0636776,5.1321444,1.7574609
SYN50K-23030-9e4f116074,F3,3.7136496,0.43855256,1.5335746,12.203543,1.8665444
SYN50K-42496-cb814a5495,F3,3.0150098,0.5048819,1.1798036,6.8845985,1.7788943
SYN50K-13598-346fc1ad47,F3,2.4343771,0.60151901,1.055994,4.5933356,1.6812068
SYN50K-34746-b8e369f1c4,F3,2.5326305,0.86596394,1.0368211,5.5183644,1.6025694
SYN50K-43302-33e70cdac6,F3,3.3638371,0.60211887,1.0315865,7.8618365,1.7423719
SYN50K-18956-cfef67027d,F3,2.3818053,0.86839974,1.1429349,5.310292,1.6104999
SYN50K-41138-bb8ce2df2f,F3,2.9129188,1.0375838,0.95079181,7.0561773,1.5716665
SYN50K-07096-d8e1216352,F3,3.9605195,1.1275975,1.044947,12.661242,1.6472801
SYN50K-43350-6f9a9a4640,F3,2.4701388,0.44545838,1.2274143,4.8449307,1.7728876
SYN50K-24166-31b89f777f,F3,1.822013,0.9395013,0.94767842,3.2848024,1.4788778
SYN50K-43490-e7463e33df,F3,2.1018359,1.1060849,0.96638371,4.4594124,1.4786737
SYN50K-16876-306388a6e4,F3,3.1218688,1.1399752,0.81786093,7.5443158,1.5282736
SYN50K-44454-0d05156573,F3,3.5954976,1.0347955,0.98930195,10.115256,1.6321789
SYN50K-25916-9d39353325,F3,2.065188,0.55098216,1.2333128,3.7679223,1.6980082
SYN50K-04112-2af83b4608,F3,1.991704,0.58924767,0.86200336,2.8833411,1.5929698
SYN50K-13706-886adc9445,F3,2.9155516,0.43390261,1.4073758,7.2467228,1.8254293
SYN50K-16006-8872b08aa8,F3,3.103227,0.88010289,1.1465762,8.2519335,1.669028
SYN50K-43660-b4d451f0e3,F3,2.8158137,0.93639315,1.0210836,6.6846962,1.6055604
SYN50K-12428-7badb93721,F3,3.9794105,0.88328568,1.288089,13.713857,1.7436931
SYN50K-48610-51c9b9880a,F3,3.7587649,0.75485959,1.5451981,13.752861,1.793691
SYN50K-05884-8cf1a5ef65,F3,3.2362447,0.72467791,1.0110411,7.6396932,1.6930197
SYN50K-43258-c938eb8d4b,F3,2.4848039,1.0396613,1.3313163,6.6932944,1.6140384
SYN50K-26320-dea3dd1322,F3,3.3057222,0.99211096,0.95836429,8.5160494,1.6148868
SYN50K-01066-31b2ef6f9d,F3,3.8210697,1.1895342,1.0696439,12.354001,1.6320793
SYN50K-00232-cf8003344b,F3,2.9305965,0.52252814,0.90296804,5.4088427,1.716886
SYN50K-33970-8b28be8195,F3,3.9916572,0.83817867,1.2760905,13.511905,1.7523871
SYN50K-22346-3d637ea083,F3,3.3942678,0.4772502,1.0267618,7.5346041,1.7850033
SYN50K-29700-489f6ae20e,F3,3.8424031,0.74440559,1.2272207,11.919687,1.7600351
SYN50K-47878-85c14bee50,F3,2.8091714,0.52118577,1.5138129,7.4371851,1.8031379
SYN50K-27786-71071b9384,F3,3.5065892,1.1926821,0.88579919,9.6282142,1.565626
SYN50K-10384-d0e0198c65,F3,3.9345703,0.84422805,1.0494569,11.444913,1.7097685
SYN50K-42794-e9b07411cd,F3,2.9118786,1.1331665,0.95850439,7.3632406,1.5518762
SYN50K-14820-70985ba545,F3,2.6468559,0.70684154,1.0171712,5.4339803,1.6557022
SYN50K-27310-aab230369f,F3,1.8678986,0.62943347,1.2933743,3.4320385,1.6574287
SYN50K-09510-7f9252ce0a,F3,2.626403,0.73506203,0.8087282,4.7198697,1.5909698
SYN50K-08528-74272e0c28,F3,3.2083659,1.06637,1.0142068,8.6412307,1.604072
SYN50K-12436-20a803c5a0,F3,3.6628763,1.0514959,1.0189106,10.686689,1.6395985
SYN50K-45700-996790c761,F3,3.8086758,0.6815251,1.0533085,10.235361,1.746398
SYN50K-00194-a2e42731f4,F3,3.0873727,1.1329117,0.97352102,8.1374587,1.5701704
SYN50K-31016-4212d8f90f,F3,3.9250118,1.0954757,1.4692971,15.617543,1.7246843
SYN50K-32138-05ec2f47fd,F3,3.5515391,0.9083773,1.1278927,10.339435,1.6879774
SYN50K-19088-ba22e552a7,F4,3.9052919,1.0850494,1.8217782,18.129681,1.7662709
SYN50K-07960-0929317972,F4,2.5882774,0.84975096,1.6248425,7.6419472,1.7121949
