method,seed,family,input,value,n,r2
standardized_coefficient,49972026,ALL,cohesion_kPa,0.63184101,2257,0.87963573
standardized_coefficient,49972026,ALL,structure_height_m,-0.26052133,2257,0.87963573
standardized_coefficient,49972026,ALL,downstream_slope_h_per_v,0.16228192,2257,0.87963573
standardized_coefficient,49972026,ALL,Q_m3s,-0.079396027,2257,0.87963573
standardized_coefficient,49972026,ALL,tailwater_ratio,0.065958512,2257,0.87963573
standardized_coefficient,49972026,ALL,top_width_m,0.065883365,2257,0.87963573
standardized_coefficient,49972026,F1,cohesion_kPa,0.74029448,121,0.85816355
standardized_coefficient,49972026,F1,downstream_slope_h_per_v,0.15847652,121,0.85816355
standardized_coefficient,49972026,F1,structure_height_m,-0.15272357,121,0.85816355
standardized_coefficient,49972026,F1,tailwater_ratio,0.12983478,121,0.85816355
standardized_coefficient,49972026,F1,Q_m3s,-0.082451719,121,0.85816355
standardized_coefficient,49972026,F1,overflow_length_m,0.08223049,121,0.85816355
standardized_coefficient,49972026,F2,cohesion_kPa,0.7039511,140,0.86627238
standardized_coefficient,49972026,F2,structure_height_m,-0.34975863,140,0.86627238
standardized_coefficient,49972026,F2,tailwater_ratio,0.1836643,140,0.86627238
standardized_coefficient,49972026,F2,phi_deg,0.086113904,140,0.86627238
standardized_coefficient,49972026,F2,Q_m3s,0.066960945,140,0.86627238
standardized_coefficient,49972026,F2,overflow_length_m,-0.05744491,140,0.86627238
standardized_coefficient,49972026,F3,cohesion_kPa,0.61630219,790,0.8908733
standardized_coefficient,49972026,F3,structure_height_m,-0.19520631,790,0.8908733
standardized_coefficient,49972026,F3,downstream_slope_h_per_v,0.12911404,790,0.8908733
standardized_coefficient,49972026,F3,top_width_m,0.060512854,790,0.8908733
standardized_coefficient,49972026,F3,Q_m3s,-0.05940769,790,0.8908733
standardized_coefficient,49972026,F3,overflow_length_m,0.041974984,790,0.8908733
standardized_coefficient,49972026,F4,cohesion_kPa,0.62170116,1206,0.89040961
standardized_coefficient,49972026,F4,structure_height_m,-0.19311592,1206,0.89040961
standardized_coefficient,49972026,F4,downstream_slope_h_per_v,0.11545214,1206,0.89040961
standardized_coefficient,49972026,F4,Q_m3s,-0.10337999,1206,0.89040961
standardized_coefficient,49972026,F4,overflow_length_m,0.069837862,1206,0.89040961
standardized_coefficient,49972026,F4,top_width_m,0.063280632,1206,0.89040961
standardized_coefficient,49972027,ALL,cohesion_kPa,0.63670083,2211,0.87575737
standardized_coefficient,49972027,ALL,structure_height_m,-0.25157011,2211,0.87575737
standardized_coefficient,49972027,ALL,downstream_slope_h_per_v,0.16044391,2211,0.87575737
standardized_coefficient,49972027,ALL,Q_m3s,-0.094369405,2211,0.87575737
standardized_coefficient,49972027,ALL,tailwater_ratio,0.070352162,2211,0.87575737
standardized_coefficient,49972027,ALL,top_width_m,0.060548218,2211,0.87575737
standardized_coefficient,49972027,F1,cohesion_kPa,0.70243232,104,0.88674351
standardized_coefficient,49972027,F1,Q_m3s,-0.2019079,104,0.88674351
standardized_coefficient,49972027,F1,downstream_slope_h_per_v,0.15704576,104,0.88674351
standardized_coefficient,49972027,F1,structure_height_m,-0.14467816,104,0.88674351
standardized_coefficient,49972027,F1,tailwater_ratio,0.10992119,104,0.88674351
standardized_coefficient,49972027,F1,overflow_length_m,0.04756365,104,0.88674351
standardized_coefficient,49972027,F2,cohesion_kPa,0.76326075,134,0.87102717
standardized_coefficient,49972027,F2,structure_height_m,-0.21607316,134,0.87102717
standardized_coefficient,49972027,F2,tailwater_ratio,0.11686562,134,0.87102717
standardized_coefficient,49972027,F2,downstream_slope_h_per_v,-0.052373702,134,0.87102717
standardized_coefficient,49972027,F2,overflow_length_m,-0.037118662,134,0.87102717
standardized_coefficient,49972027,F2,top_width_m,0.035096743,134,0.87102717
standardized_coefficient,49972027,F3,cohesion_kPa,0.59791787,814,0.89545556
standardized_coefficient,49972027,F3,structure_height_m,-0.18701891,814,0.89545556
standardized_coefficient,49972027,F3,downstream_slope_h_per_v,0.13374449,814,0.89545556
standardized_coefficient,49972027,F3,Q_m3s,-0.074579243,814,0.89545556
standardized_coefficient,49972027,F3,top_width_m,0.062852354,814,0.89545556
standardized_coefficient,49972027,F3,tailwater_ratio,0.061876752,814,0.89545556
standardized_coefficient,49972027,F4,cohesion_kPa,0.64474873,1159,0.88242239
standardized_coefficient,49972027,F4,structure_height_m,-0.18588428,1159,0.88242239
standardized_coefficient,49972027,F4,Q_m3s,-0.11854442,1159,0.88242239
standardized_coefficient,49972027,F4,downstream_slope_h_per_v,0.10049022,1159,0.88242239
standardized_coefficient,49972027,F4,overflow_length_m,0.078318458,1159,0.88242239
standardized_coefficient,49972027,F4,tailwater_ratio,0.05209534,1159,0.88242239
standardized_coefficient,49972028,ALL,cohesion_kPa,0.62931365,2273,0.87100306
standardized_coefficient,49972028,ALL,structure_height_m,-0.26030772,2273,0.87100306
standardized_coefficient,49972028,ALL,downstream_slope_h_per_v,0.17160858,2273,0.87100306
standardized_coefficient,49972028,ALL,Q_m3s,-0.097068196,2273,0.87100306
standardized_coefficient,49972028,ALL,tailwater_ratio,0.075391042,2273,0.87100306
