seed,family,eligible_n,n,share_pct
49972026,F4,2585,1273,49.24564796905222
49972026,F3,2585,799,30.90909090909091
49972026,F2,2585,373,14.429400386847195
49972026,F1,2585,140,5.415860735009671
49972027,F4,2580,1233,47.7906976744186
49972027,F3,2580,821,31.82170542635659
49972027,F2,2580,412,15.968992248062015
49972027,F1,2580,114,4.418604651162791
49972028,F4,2622,1268,48.36003051106026
49972028,F3,2622,825,31.46453089244851
49972028,F2,2622,388,14.797864225781844
49972028,F1,2622,141,5.377574370709382
49972029,F4,2530,1202,47.5098814229249
49972029,F3,2530,800,31.620553359683797
49972029,F2,2530,387,15.296442687747035
49972029,F1,2530,141,5.573122529644269
